2025-11-17 01:57:39,396 | INFO     | get_hourly:441 | Hourly forecast requested for: 22.5804634, 88.4516468
2025-11-17 01:57:39,397 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5804634,88.4516468
2025-11-17 01:57:39,397 | DEBUG    | get_hourly:457 | Requesting hourly forecast from WeatherAPI: 22.5804634,88.4516468
2025-11-17 01:57:39,769 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
2025-11-17 01:57:39,769 | DEBUG    | get_hourly:460 | WeatherAPI hourly response status: 200
2025-11-17 01:57:39,774 | INFO     | get_hourly:482 | Returning 24 hours of real forecast data
2025-11-17 01:57:39,774 | INFO     | get_hourly:482 | Returning 24 hours of real forecast data
2025-11-17 01:57:39,779 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:57:39] "POST /api/hourly HTTP/1.1" 200 -
2025-11-17 01:57:45,848 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:57:45] "[33mPOST /api/forecast HTTP/1.1[0m" 404 -
2025-11-17 01:58:26,940 | INFO     | get_chatbot_response:356 | Gemini chat success
2025-11-17 01:58:26,940 | INFO     | get_chatbot_response:356 | Gemini chat success
2025-11-17 01:58:26,945 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:58:26] "POST /api/chatbot HTTP/1.1" 200 -
2025-11-17 01:58:27,307 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 01:58:27] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 02:00:47,647 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 02:00:47] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 02:44:54,316 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 02:44:54] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 02:47:10,006 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 02:47:10] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 02:49:27,132 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 02:49:27] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 03:00:41,039 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 03:00:41] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 03:02:55,699 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 03:02:55] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 03:05:12,076 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 03:05:12] "[33mGET /ws HTTP/1.1[0m" 404 -
2025-11-17 03:07:26,593 | INFO     | _log:187 | 127.0.0.1 - - [17/Nov/2025 03:07:26] "[33mGET /ws HTTP/1.1[0m" 404 -
